epoch;accuracy;auc;loss;mean_squared_error;val_accuracy;val_auc;val_loss;val_mean_squared_error
0;0.012212994508445263;0.5330056548118591;4.685605525970459;0.009005988948047161;0.02008928544819355;0.547837495803833;4.6667327880859375;0.009002636186778545
1;0.01123595517128706;0.5654243230819702;4.658304214477539;0.009001611731946468;0.02008928544819355;0.5947176814079285;4.61854887008667;0.008994349278509617
2;0.02540302835404873;0.6209962964057922;4.5933990478515625;0.008992169052362442;0.02678571455180645;0.6840813755989075;4.477962017059326;0.008970285765826702
3;0.0317537859082222;0.7276642322540283;4.323616027832031;0.008951901458203793;0.0379464291036129;0.786587655544281;4.086009979248047;0.008891692385077477
4;0.04543234035372734;0.7951280474662781;4.049236297607422;0.008892004378139973;0.0625;0.8194196820259094;3.9169294834136963;0.008845430798828602
5;0.07132388651371002;0.8278214931488037;3.867825746536255;0.008841660805046558;0.0602678582072258;0.835010290145874;3.810460329055786;0.008822215721011162
6;0.08793356269598007;0.8525760173797607;3.712566614151001;0.00878088641911745;0.0758928582072258;0.8320170044898987;3.808307409286499;0.008825329132378101
7;0.08891060203313828;0.8626493215560913;3.624738931655884;0.008738064207136631;0.1004464253783226;0.8545613288879395;3.626176118850708;0.008714860305190086
8;0.11724475026130676;0.8712416887283325;3.510835886001587;0.008649611845612526;0.1049107164144516;0.8694545030593872;3.5632121562957764;0.008726386353373528
9;0.12212994694709778;0.8830503821372986;3.426696538925171;0.008605635724961758;0.1138392835855484;0.8653817176818848;3.542785167694092;0.008683297783136368
10;0.12359550595283508;0.8933291435241699;3.3377251625061035;0.008560504764318466;0.1294642835855484;0.8730804324150085;3.451871871948242;0.008619221858680248
11;0.15095260739326477;0.9018679857254028;3.2341339588165283;0.00847967341542244;0.1316964328289032;0.886947751045227;3.365234613418579;0.00859795417636633
12;0.1577918976545334;0.9096185564994812;3.155874490737915;0.008420833386480808;0.1138392835855484;0.8748266696929932;3.3889362812042236;0.008582294918596745
13;0.17489008605480194;0.915806233882904;3.077739953994751;0.008344011381268501;0.1272321492433548;0.8837373852729797;3.3565375804901123;0.008651258423924446
14;0.18612603843212128;0.9207556843757629;3.000760078430176;0.008280007168650627;0.1361607164144516;0.876581609249115;3.4021105766296387;0.008686946704983711
15;0.20322422683238983;0.9237019419670105;2.949023485183716;0.00817414652556181;0.1495535671710968;0.8899523019790649;3.230224370956421;0.008432420901954174
16;0.20371274650096893;0.9293140172958374;2.907047748565674;0.008196932263672352;0.1696428507566452;0.8825141191482544;3.2948851585388184;0.008548546582460403
17;0.21787981688976288;0.9326891899108887;2.805084228515625;0.008033981546759605;0.1473214328289032;0.8889557123184204;3.2793233394622803;0.008501320146024227
18;0.2276502251625061;0.9340534210205078;2.7873833179473877;0.00800902396440506;0.1584821492433548;0.8909544944763184;3.20520281791687;0.00838053785264492
19;0.24377137422561646;0.9351407885551453;2.744940996170044;0.007943570613861084;0.1852678507566452;0.8816655874252319;3.2766339778900146;0.008478404022753239
20;0.2584269642829895;0.9432549476623535;2.659501075744629;0.007830522954463959;0.1808035671710968;0.8783817291259766;3.360459089279175;0.00853058323264122
21;0.2569614052772522;0.9428420066833496;2.6257615089416504;0.007811191026121378;0.1607142835855484;0.8776845932006836;3.3641397953033447;0.008589314296841621
22;0.2808988690376282;0.9462529420852661;2.5515501499176025;0.007687658071517944;0.1964285671710968;0.8809723854064941;3.2432782649993896;0.008403836749494076
23;0.2906692624092102;0.9453583359718323;2.5109810829162598;0.007589695509523153;0.1852678507566452;0.8870941400527954;3.219197988510132;0.008365767076611519
24;0.2857840657234192;0.9451355934143066;2.518866539001465;0.007597350049763918;0.1808035671710968;0.8852155208587646;3.2783944606781006;0.008325967937707901
25;0.3175378739833832;0.9521804451942444;2.374983310699463;0.007334758527576923;0.2053571492433548;0.8666252493858337;3.371521234512329;0.008424115367233753
26;0.316560834646225;0.9501447677612305;2.415761947631836;0.00745749706402421;0.2299107164144516;0.887506902217865;3.1941566467285156;0.008162321522831917
27;0.3302393853664398;0.9554731845855713;2.315703868865967;0.007315233815461397;0.1964285671710968;0.8666145205497742;3.4601032733917236;0.008587348274886608
28;0.3605276048183441;0.9596382975578308;2.223179340362549;0.00709998793900013;0.2120535671710968;0.8792437314987183;3.316274642944336;0.008374293334782124
29;0.360039085149765;0.9593164920806885;2.2113757133483887;0.007083113305270672;0.2366071492433548;0.8585367202758789;3.5393481254577637;0.008524107746779919
30;0.37713727355003357;0.9612278938293457;2.1492514610290527;0.006979459431022406;0.2633928656578064;0.8774093985557556;3.2756247520446777;0.008202674798667431
31;0.39765509963035583;0.9672660827636719;2.052342414855957;0.006801001727581024;0.2209821492433548;0.865239679813385;3.431560516357422;0.00852794386446476
32;0.39618954062461853;0.9660001397132874;2.0368645191192627;0.006745459511876106;0.265625;0.8834738731384277;3.1959993839263916;0.008112656883895397
33;0.4098680913448334;0.9658523201942444;2.0237982273101807;0.0066596874967217445;0.2388392835855484;0.8777189254760742;3.2586796283721924;0.008218529634177685
34;0.4230581223964691;0.9679712653160095;1.9720202684402466;0.006594473030418158;0.2232142835855484;0.8641397953033447;3.4885923862457275;0.008537017740309238
