epoch;accuracy;auc;loss;mean_squared_error;val_accuracy;val_auc;val_loss;val_mean_squared_error
0;0.04527481272816658;0.7234039306640625;4.359006404876709;0.008960134349763393;0.014705882407724857;0.5038961172103882;7.0392231941223145;0.009392833337187767
1;0.07868722826242447;0.8110660910606384;3.930861473083496;0.00882729608565569;0.016544118523597717;0.5468394756317139;5.22756290435791;0.009161931462585926
2;0.13562673330307007;0.8708851933479309;3.5033373832702637;0.008611849509179592;0.03492647036910057;0.6727979183197021;4.748955726623535;0.009268303401768208
3;0.16449189186096191;0.8981319069862366;3.2516086101531982;0.008419717662036419;0.15625;0.8714632987976074;3.4479639530181885;0.008589754812419415
4;0.2202451527118683;0.920442521572113;2.957770586013794;0.008097515441477299;0.24632352590560913;0.9136601686477661;2.908761978149414;0.00803096778690815
5;0.23942269384860992;0.9236706495285034;2.8733742237091064;0.007990408688783646;0.20588235557079315;0.9055740237236023;3.0728600025177;0.008276257663965225
6;0.2945828437805176;0.9424816370010376;2.587725877761841;0.007605933118611574;0.24080882966518402;0.9108753800392151;2.9131007194519043;0.008140784688293934
7;0.3382759988307953;0.9521219730377197;2.401693344116211;0.007272661663591862;0.3134191036224365;0.9163074493408203;2.7168636322021484;0.0076510291546583176
8;0.3548833429813385;0.9534651637077332;2.3115487098693848;0.00709734158590436;0.15257352590560913;0.8138813972473145;3.9516351222991943;0.009230148047208786
9;0.3327402174472809;0.9458534121513367;2.4156157970428467;0.007243919186294079;0.12040441483259201;0.7650869488716125;4.7425856590271;0.010202925652265549
10;0.3805852234363556;0.9604580998420715;2.166748046875;0.006865617819130421;0.37316176295280457;0.9383584856987;2.3596436977386475;0.00705000152811408
11;0.4549228847026825;0.9712143540382385;1.9184058904647827;0.00629660626873374;0.3216911852359772;0.9171674251556396;2.70263409614563;0.007678927853703499
12;0.4068801999092102;0.9467195868492126;2.212263822555542;0.006657876074314117;0.05514705926179886;0.6080154180526733;8.233245849609375;0.011410930193960667
13;0.30189797282218933;0.9371924996376038;2.5813159942626953;0.007589791901409626;0.20220588147640228;0.8622393608093262;3.3565585613250732;0.008578786626458168
14;0.41775405406951904;0.9656862020492554;2.02644681930542;0.006573497783392668;0.38878676295280457;0.9402664303779602;2.325209856033325;0.0069809043779969215
15;0.507908284664154;0.9772861003875732;1.7207707166671753;0.005832884460687637;0.43566176295280457;0.9460485577583313;2.132312297821045;0.0065546585246920586
16;0.5472518801689148;0.9806720018386841;1.5595006942749023;0.005420949775725603;0.43382352590560913;0.9441816210746765;2.101055383682251;0.00650649843737483
17;0.5680110454559326;0.983207106590271;1.4540446996688843;0.005141839385032654;0.4466911852359772;0.9497871994972229;2.021683931350708;0.006374498829245567
18;0.5759193301200867;0.9840794801712036;1.4121543169021606;0.005064501892775297;0.5082720518112183;0.9531030654907227;1.8325390815734863;0.005832423456013203
19;0.609529435634613;0.9789966940879822;1.3901660442352295;0.0047901226207613945;0.056066177785396576;0.6113824248313904;8.909183502197266;0.012998811900615692
20;0.4464215040206909;0.959158718585968;1.9718915224075317;0.006359661463648081;0.47610294818878174;0.9496291279792786;1.9207473993301392;0.006020485423505306
21;0.5927243828773499;0.9805784821510315;1.3953375816345215;0.004927406087517738;0.140625;0.7553672790527344;4.776622772216797;0.01019741129130125
22;0.6006326675415039;0.9840445518493652;1.3437868356704712;0.004828377161175013;0.5183823704719543;0.9603428840637207;1.733352541923523;0.005547477863729
23;0.6160537600517273;0.9744544625282288;1.393837571144104;0.004674577619880438;0.015625;0.5181817412376404;22.828365325927734;0.015132959932088852
24;0.5338078141212463;0.9753965139389038;1.5855317115783691;0.005471124313771725;0.3961397111415863;0.9231447577476501;2.4642906188964844;0.00739746168255806
25;0.6184262633323669;0.9859450459480286;1.2965539693832397;0.004704240709543228;0.2647058963775635;0.864387571811676;3.2687950134277344;0.00833402294665575
